 to ,perPixelScaler,scalerSE,scalerCI,originalArea,estimatedArea,estimatedAreaSE,estimatedAreaCI,producer_accuracy,se,ci,user_accuracy,se.1,ci.1,Class.Name
HID,1.192444047,0.044615815,0.087446997,11972473,14276504.16,534161.6401,1046956.815,0.802514503,0.029037114,0.056912743,0.956953642,0.011698506,0.022929072,High Intensity Developed
MID,0.934177489,0.034092932,0.066822146,31568295,29490390.55,1076255.72,2109461.211,0.883129823,0.026201369,0.051354683,0.825,0.020053897,0.039305638,Medium Intensity Developed
LID,0.885171195,0.029156533,0.057146805,69128619,61190662.3,2015550.858,3950479.682,0.899903467,0.021749556,0.04262913,0.796568627,0.019953696,0.039109245,Low Intensity Developed
OSD,1.471083064,0.080394678,0.157573569,36000555,52959806.74,2894253.033,5672735.945,0.558963112,0.03017085,0.059134866,0.822281167,0.019714373,0.038640172,Developed Open Space
CULT,0.941742815,0.020063174,0.039323821,241031842,226990005.5,4835863.804,9478293.056,0.881654691,0.011448032,0.022438142,0.830291971,0.016049923,0.031457849,Cultivated
PAST,0.854535194,0.027149839,0.053213685,161591750,138085837.4,4387190.06,8598892.518,0.853873635,0.016700087,0.03273217,0.729665072,0.021749277,0.042628584,Pasture/Hay
GRS,1.150115194,0.036088148,0.070732769,110176311,126715449.3,3976058.98,7793075.601,0.698962095,0.019897843,0.038999773,0.803886926,0.016704233,0.032740296,Grassland
DEC,0.983479178,0.017169237,0.033651704,271623231,267135792,4663563.613,9140584.681,0.899966937,0.009771078,0.019151312,0.885098743,0.013524489,0.026507998,Deciduous Forest
EVR,1.027494829,0.014906711,0.029217154,336791175,346051190.6,5020448.746,9840079.542,0.89562999,0.008991947,0.017624217,0.920255183,0.010827251,0.021221412,Evergreen Forest
MIX,1.08560297,0.032644302,0.063982832,134711568,146243278.3,4397565.092,8619227.58,0.777749509,0.019543628,0.038305511,0.844327177,0.018647297,0.036548702,Mixed Forest
SS,0.927856249,0.02411171,0.047258952,230972631,214309399.1,5569145.188,10915524.57,0.790534675,0.015987988,0.031336457,0.733502538,0.015760137,0.030889868,Scrub/Shrub
PFW,0.99589787,0.016691478,0.032715297,204752637,203912715,3417624.102,6698543.24,0.919902593,0.009869466,0.019344154,0.916129032,0.012868418,0.025222099,Palustrine Forested Wetland
PSS,1.034502556,0.044558356,0.087334378,55229429,57134985.46,2460932.557,4823427.811,0.767181085,0.029614011,0.058043462,0.793650794,0.020842291,0.04085089,Palustrine Scrub/Shrub Wetland
PEM,1.14819163,0.050993878,0.099948002,47505151,54545016.75,2422471.892,4748044.908,0.72500686,0.030160573,0.059114723,0.832446809,0.019285858,0.037800282,Palustrine Emergent Wetland
EFW,0.952380952,0.047619048,0.093333333,2240780,2134076.19,106703.8095,209139.4667,1,0,0,0.952380952,0.047619048,0.093333333,Estuarine Forested Wetland
ESS,0.827956203,0.132024812,0.258768631,1148499,950906.8713,151630.3642,297195.5139,0.86713369,0.116018291,0.227395851,0.717948718,0.072999343,0.143078713,Estuarine Scrub/Shrub Wetland
EEM,0.978548391,0.037445281,0.07339275,21570048,21107335.76,807696.5018,1583085.143,0.919729682,0.028657064,0.056167845,0.9,0.021821789,0.042770706,Estuarine Emergent Wetland
UCS,0.942474706,0.069183386,0.135599436,5014860,4726378.704,346944.9947,680012.1896,0.82415388,0.055449536,0.108681091,0.776744186,0.028466463,0.055794267,Unconsolidated Shore
BARE,1.417555882,0.100013367,0.196026199,16436336,23299424.77,1643853.304,3221952.475,0.585803613,0.04090153,0.080166999,0.830409357,0.02032216,0.039831434,Bare Land
OW,0.989720683,0.007947252,0.015576614,281929486,279031443.4,2240564.613,4391506.642,0.982865835,0.003371272,0.006607693,0.972762646,0.007186662,0.014085857,Water
PAB,1.542184057,0.45210992,0.886135444,487236,751407.5911,220284.2291,431757.089,0.472313962,0.138975051,0.272391099,0.728395062,0.049728726,0.097468303,Palustrine Aquatic Bed
EAB,1.171501072,0.261189947,0.511932296,2114697,2477369.802,552337.5969,1082581.69,0.761896002,0.168974029,0.331189098,0.892561983,0.028268812,0.055406872,Estuarine Aquatic Bed
SNOW,1.57981817,0.653130045,1.280134889,824798,1303030.867,538700.355,1055852.696,0.587771078,0.2426544,0.475602623,0.928571429,0.049563476,0.097144413,Snow/Ice
